PID,SyscallID,Syscall,RDI,RSI,RDX,R10,R8,R9
1692,9,mmap,0,24744,1,2050,3,0
1692,9,mmap,2886590464,8192,5,2066,3,8192
1692,9,mmap,2886598656,4096,1,2066,3,16384
1692,9,mmap,2886602752,8192,3,2066,3,16384
1692,3,close,3,0,0,1408384300,3221225474,32
1692,257,openat,4294967196,2888380032,524288,0,524288,2888380032
1692,0,read,3,511738552,832,0,524288,2888380032
1692,17,pread64,3,511737552,784,64,524288,511737552
1692,17,pread64,3,511737488,48,848,524288,511737552
1692,17,pread64,3,511737408,68,896,524288,511737552
1692,262,newfstatat,3,2892687853,511738208,4096,2888380032,2892735008
1692,9,mmap,0,8192,3,34,4294967295,0
1692,17,pread64,3,511737264,784,64,65535,2886575240
1692,9,mmap,0,2012056,1,2050,3,0
1692,9,mmap,2884714496,1486848,5,2066,3,155648
1692,9,mmap,2886201344,311296,1,2066,3,1642496
1692,9,mmap,2886512640,24576,3,2066,3,1949696
1692,9,mmap,2886537216,33688,3,50,4294967295,0
1692,3,close,3,4,1,1410407612,3221258242,48
1692,257,openat,4294967196,2886575328,524288,0,524288,2886575328
1692,0,read,3,511738520,832,0,524288,2886575328
1692,262,newfstatat,3,2892687853,511738176,4096,2886575328,2892455936
1692,9,mmap,0,109192,1,2050,3,0
1692,10,mprotect,2884464640,77824,0,1,3,0
1692,9,mmap,2884464640,57344,5,2066,3,16384
1692,9,mmap,2884521984,16384,1,2066,3,73728
1692,9,mmap,2884542464,8192,3,2066,3,90112
1692,9,mmap,2884550656,6792,3,50,4294967295,0
1692,3,close,3,0,0,1410518316,3221225474,32
1692,257,openat,4294967196,2886576704,524288,0,524288,2886576704
1692,0,read,3,511738488,832,0,524288,2886576704
1692,262,newfstatat,3,2892687853,511738144,4096,2886576704,2892457248
1692,9,mmap,0,28992,1,2050,3,0
1692,9,mmap,2884423680,12288,5,2066,3,8192
1692,9,mmap,2884435968,4096,1,2066,3,20480
1692,9,mmap,2884440064,8192,3,2066,3,20480
1692,3,close,3,0,0,1410551084,3221225474,32
1692,257,openat,4294967196,2886578016,524288,0,524288,2886578016
